# #DistanceElevation	#DistanceHeightInc	#DistanceHeightDec	#DistanceHeadwind	#DistanceTailwind	#DistancePressureIncrease	#DistancePressureDecrease
-5.238347383603029277e-130	-9.973076321399816253e-131	8.751291152946116122e-131	-2.563689627975406866e-133	-1.963485657268938443e-132	-2.218901203120108700e-132	-4.780969838296573621e-132
5.281298722896121855e-126	1.005710388648067123e-126	-8.829890102304009938e-127	5.393644672803903500e-129	1.917868368100804690e-128	2.256852862238356779e-128	4.907290687304021801e-128
-9.369675733198870885e-123	-1.785255560352397977e-123	1.569879087236270144e-123	-2.435663098042975244e-125	-3.096480499891602897e-125	-4.082413567171738772e-125	-9.118616270397824589e-125
-3.860435574929108267e-119	-7.351485444692561877e-120	6.453764424978870231e-120	-3.359197954776793786e-122	-1.407400962136008416e-121	-1.654620359142616703e-121	-3.585301262140625149e-121
1.092718545994181544e-116	2.091726945550521590e-117	-1.865914712452768306e-117	1.915019742392388781e-118	3.689943459418885183e-120	5.441927653873678706e-119	1.484565951295360091e-118
3.398428361812217274e-112	6.474740916994664235e-113	-5.691860576683235123e-113	7.594598453809849899e-115	1.141899364477316132e-114	1.481464878732821584e-114	3.285846251628416633e-114
8.559613812451958194e-109	1.629893331561653203e-109	-1.430144066600133922e-109	2.265966460962973219e-112	3.196995699505261273e-111	3.678515082815892492e-111	7.872622765985356175e-111
-3.041850442912050965e-106	-5.828791655336995552e-107	5.224579357447752265e-107	-6.997974702225756619e-108	1.917454353380339711e-109	-1.529570991124069494e-108	-4.460307126676377789e-108
-8.670075819793044919e-102	-1.652285217685793210e-102	1.453752485938904119e-102	-2.678778031634043737e-104	-2.754256367549107757e-104	-3.818682762538058165e-104	-8.587520119902546603e-104
-2.765054304788789927e-98	-5.266620077126147454e-99	4.624637884448136857e-99	-2.635333529446726492e-101	-9.868460048535634915e-101	-1.204455913965482317e-100	-2.606819634628035828e-100
-2.019185444568538042e-95	-3.836926583237943380e-96	3.338836843982350358e-96	1.776906267639081484e-97	-1.079758948976841218e-97	-8.401847897632371350e-98	-1.474380346393189221e-97
