# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-6.692176824986522132e-31	1.568574526013683029e-31	1.753353844097371453e-25	-1.691954469900127945e-27	4.880905595485409022e-33	-1.150501272300193477e-33	-4.718307579237017477e-33	1.111966444727355997e-33
1.924716300067594548e-26	-3.893648713832009045e-27	-1.556522965332915606e-21	1.668907210658985361e-23	-1.404010417765549172e-28	2.860851679704189067e-29	1.355173134210570015e-28	-2.743954124260325287e-29
-2.421011070789200356e-22	4.119922441042623283e-23	6.047115139948036413e-18	-7.223969087582316830e-20	1.766223934705634492e-24	-3.033948642315769638e-25	-1.702318589609731154e-24	2.882568671248676164e-25
1.749434975061499044e-18	-2.423428696642894908e-19	-1.350543323871704321e-14	1.806566233045695691e-16	-1.276327401849461772e-20	1.789883402264091351e-21	1.228485771036678639e-20	-1.680601290028861920e-21
-8.020595508806355858e-15	8.665995962113299341e-16	1.915132019461862723e-11	-2.892898067023445171e-13	5.851305232479642692e-17	-6.425017130904326912e-18	-5.625050813251848208e-17	5.943638444139620098e-18
2.430867143850665021e-11	-1.935333598899408783e-12	-1.796893252267856960e-08	3.108692530380447087e-10	-1.773186494823830721e-13	1.442022134632664672e-14	1.702769464799706563e-13	-1.309021831110977055e-14
-4.918069125804775977e-08	2.669415149746448231e-09	1.126921469778440067e-05	-2.286776590718915361e-07	3.586760279715812831e-10	-2.001885767114356408e-11	-3.441136198640038660e-10	1.773885226293142092e-11
6.539917680744210206e-05	-2.167097928548695315e-06	-4.656734003211188307e-03	1.155187423396532770e-04	-4.768384637137522171e-07	1.641174302191322124e-08	4.571376522266439758e-07	-1.409967457711537605e-08
-5.456508775674669132e-02	9.411698127159797474e-04	1.214068244623146997e+00	-3.965805750123750639e-02	3.976585111568319833e-04	-7.826417992989953009e-06	-3.810189811449847053e-04	6.575237246953112776e-06
2.563812697947458474e+01	-1.118485860200829352e-01	-1.816387751191709299e+02	8.994065689386337326e+00	-1.909050726554455124e-01	1.358192237086032050e-03	1.830297610214962067e-01	-1.066046521068639372e-03
-3.605016915413586503e+03	8.517681344280711997e+00	1.225434250478795366e+04	-1.215325812155152562e+03	3.789414136373518005e+01	-6.363019836991133660e-02	-3.629515164591536092e+01	5.099628250400735363e-02
