# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-1.419444165424780498e-29	3.019433081022468825e-31	3.784451159877886498e-25	3.670028718371544251e-27	6.323366717252841709e-32	-1.270584298563360725e-33	-6.476302597200191690e-32	1.486522082247877602e-33
4.429246468202796177e-25	-6.923210296377201467e-27	-3.202455674025660443e-21	-2.597664933469313093e-23	-1.970935355282399029e-27	2.880946787711782230e-29	2.022463551410765643e-27	-3.421901718429817345e-29
-6.141322846295680236e-21	6.763857168929534749e-23	1.188766889077817096e-17	7.620558996296213791e-20	2.729565659108303590e-23	-2.775543950366393032e-25	-2.806649193954463111e-23	3.356153405467943759e-25
4.980212059199046395e-17	-3.671756227044633630e-19	-2.543800318127572358e-14	-1.163268249841257901e-16	-2.210798459184305637e-19	1.479886661533867235e-21	2.278144901775516928e-19	-1.828791031202235092e-21
-2.614573396102480130e-13	1.210962255194533935e-15	3.467455027639741710e-11	8.877185430771352676e-14	1.159197896404709001e-15	-4.766397375377399694e-18	-1.197213067537708560e-15	6.053848162588309920e-18
9.281311916449719043e-10	-2.492252794482892327e-12	-3.139149353886431657e-08	-9.266465555130283263e-12	-4.109729781093327401e-12	9.497850730085429859e-15	4.254454485235697760e-12	-1.250741357949557116e-14
-2.255284343797203574e-06	3.164625205682450580e-09	1.907783549928548296e-05	-4.557473161788931924e-08	9.973571233330052771e-09	-1.152278555238918829e-11	-1.034958176889822311e-08	1.595691220030322003e-11
3.702879136191240643e-03	-2.361599563894013815e-06	-7.675301682768983537e-03	4.523582755840141402e-05	-1.635458880381519998e-05	8.049738806642292153e-09	1.701245055621611449e-05	-1.200548766378991284e-08
-3.930396812134185680e+00	9.398917319945880892e-04	1.957013935197517762e+00	-2.214919122843454768e-02	1.733792683764150480e-02	-3.277283577300159658e-06	-1.807932006942353231e-02	5.222322241948651976e-06
2.434881841722467470e+03	-7.570923912295074443e-02	-2.870734711977835900e+02	6.432673444441751265e+00	-1.073045878723410063e+01	4.258591399058020074e-04	1.121630220458299121e+01	-8.431544858454397646e-04
-6.669473655326326843e+05	7.024635027705677714e+00	1.887077692400503656e+04	-1.075227500551857929e+03	2.942201387974208956e+03	-2.219308421841826792e-02	-3.082758016120939374e+03	3.641367959697995593e-02
