# Elevation/Distance high angle	Elevation/Distance Low angle	Height difference above	Height difference below	Air density increase high angle	Air density increase low angle	Air density decrease high angle	Air density decrease low angle
-1.546429468144589958e-32	3.636916243992381037e-34	4.021430487476305519e-25	-2.791198228395831888e-26	2.130724212041954860e-34	-5.018277204048887665e-36	-2.229843999628896319e-34	5.209931548817608184e-36
9.517565819612905625e-28	-1.657354662252882802e-29	-3.271900282963274132e-21	2.245318124775748903e-22	-1.311378362062464969e-29	2.282536416750857487e-31	1.372276913054330274e-29	-2.382001230399517398e-31
-2.602092019306077042e-23	3.219769307809460349e-25	1.161483654616270950e-17	-7.887252917763453930e-19	3.585415729235656668e-25	-4.424223126376263475e-27	-3.751413775089762089e-25	4.646025417213277081e-27
4.159527178154071164e-19	-3.477752082096089308e-21	-2.361684570255488495e-14	1.590393307468714950e-15	-5.731717135869236820e-21	4.765591594149230759e-23	5.995931087469059450e-21	-5.042314748853697000e-23
-4.303217976528807020e-15	2.283956633350856245e-17	3.035824265003185697e-11	-2.036571097984807389e-12	5.930159397039597175e-17	-3.119503781804165903e-19	-6.201968487813648636e-17	3.330142679262590939e-19
3.009190264277697585e-11	-9.369418672868800270e-14	-2.568707984139972059e-08	1.732039467299594097e-09	-4.147267918150426502e-13	1.274912804399572653e-15	4.336030540505559201e-13	-1.374879161346297751e-15
-1.439897844062594130e-07	2.374511046766692668e-10	1.443943711509317049e-05	-9.955948536870577637e-07	1.984675041203256258e-09	-3.218606664852091956e-12	-2.074264166121876191e-09	3.507804240521946525e-12
4.653654172627855494e-04	-3.543198955110711479e-07	-5.311212573421524724e-03	3.870815269618710060e-04	-6.415073355344715951e-06	4.798535286301049889e-09	6.701936576030507438e-06	-5.270616959055785579e-09
-9.719465617918672251e-01	2.830477553700565187e-04	1.223872293180854554e+00	-1.005738309716262685e-01	1.339989819138009096e-02	-4.218786355586805691e-06	-1.399285959113005101e-02	4.578872732797322367e-06
1.184284760689376526e+03	-6.414357809770071528e-02	-1.611001376932580058e+02	1.698531547896669025e+01	-1.633383690256731313e+01	1.344132438359539692e-03	1.704829911585031255e+01	-1.409158180391565382e-03
-6.376974423841154203e+05	8.705866228358429382e+00	9.655137388611059578e+03	-1.698078713827128695e+03	8.816004819752219191e+03	-1.301425265116954721e-01	-9.197010294536710717e+03	1.219136308375841915e-01
